"","date","open","high","low","close","volume","adjusted"
"1",1998-01-02,0.486607,0.580357,0.482143,0.580357,179527600,0.392877
"2",1998-01-05,0.589286,0.591518,0.542411,0.566964,162968400,0.38381
"3",1998-01-06,0.569196,0.714286,0.526786,0.676339,453118400,0.457852
"4",1998-01-07,0.671875,0.678571,0.618304,0.625,260405600,0.423098
"5",1998-01-08,0.622768,0.665179,0.604911,0.649554,193505200,0.43972
"6",1998-01-09,0.647321,0.691964,0.625,0.649554,221636800,0.43972
"7",1998-01-12,0.622768,0.665179,0.611607,0.651786,129099600,0.441231
"8",1998-01-13,0.665179,0.700893,0.660714,0.696429,159213600,0.471452
"9",1998-01-14,0.709821,0.712054,0.6875,0.705357,147316400,0.477496
"10",1998-01-15,0.685268,0.705357,0.665179,0.685268,139818000,0.463897
"11",1998-01-16,0.694196,0.694196,0.667411,0.671875,61588800,0.45483
"12",1998-01-20,0.680804,0.689732,0.665179,0.680804,60390400,0.460874
"13",1998-01-21,0.669643,0.680804,0.662946,0.675221,47552400,0.457096
"14",1998-01-22,0.667411,0.705357,0.665179,0.6875,82432000,0.465408
"15",1998-01-23,0.691964,0.703125,0.6875,0.696429,58290400,0.471452
"16",1998-01-26,0.694196,0.698661,0.671875,0.694196,36610000,0.469941
"17",1998-01-27,0.685268,0.703125,0.678571,0.683036,28058800,0.462385
"18",1998-01-28,0.685268,0.691964,0.665179,0.685268,37780400,0.463897
"19",1998-01-29,0.676339,0.683036,0.660714,0.660714,52970400,0.447275
"20",1998-01-30,0.654018,0.674107,0.651786,0.654018,40611200,0.442742
"21",1998-02-02,0.660714,0.660714,0.620536,0.631696,159185600,0.427631
"22",1998-02-03,0.631696,0.665179,0.631696,0.654018,100654400,0.442742
"23",1998-02-04,0.645089,0.660714,0.642857,0.651786,42548800,0.441231
"24",1998-02-05,0.651786,0.660714,0.642857,0.654018,59567200,0.442742
"25",1998-02-06,0.65625,0.667411,0.651786,0.660714,50584800,0.447275
"26",1998-02-09,0.65625,0.696429,0.65625,0.685268,123667600,0.463897
"27",1998-02-10,0.683036,0.698661,0.680804,0.694196,105504000,0.469941
"28",1998-02-11,0.696429,0.696429,0.674107,0.678571,52917200,0.459363
"29",1998-02-12,0.683036,0.694196,0.680804,0.691964,50937600,0.46843
"30",1998-02-13,0.685268,0.709821,0.678571,0.696429,51998800,0.471452
"31",1998-02-17,0.696429,0.705357,0.696429,0.700893,45687600,0.474474
"32",1998-02-18,0.698661,0.741071,0.698661,0.734375,123648000,0.49714
"33",1998-02-19,0.745536,0.747768,0.714286,0.729911,99915200,0.494118
"34",1998-02-20,0.732143,0.734375,0.707589,0.714286,81354000,0.48354
"35",1998-02-23,0.71875,0.772321,0.714286,0.758929,119372400,0.513762
"36",1998-02-24,0.761161,0.763393,0.741071,0.761161,114147600,0.515273
"37",1998-02-25,0.761161,0.8125,0.747768,0.796875,178166800,0.53945
"38",1998-02-26,0.796875,0.841518,0.78125,0.839286,148783600,0.56816
"39",1998-02-27,0.832589,0.852679,0.805804,0.84375,129900400,0.571182
"40",1998-03-02,0.841518,0.841518,0.794643,0.8125,100111200,0.550027
"41",1998-03-03,0.78125,0.828125,0.772321,0.825893,83518400,0.559094
"42",1998-03-04,0.816964,0.883929,0.816964,0.872768,204456000,0.590826
"43",1998-03-05,0.830357,0.866071,0.825893,0.859375,168781200,0.58176
"44",1998-03-06,0.852679,0.875,0.834821,0.872768,166616800,0.590826
"45",1998-03-09,0.848214,0.868304,0.803571,0.8125,143732400,0.550027
"46",1998-03-10,0.821429,0.875,0.819196,0.859375,178225600,0.58176
"47",1998-03-11,0.897321,0.935268,0.877232,0.933036,303584400,0.631625
